# PyATRAC1 Debug Log - 2025-06-11 12:11:07
# Format: [TIMESTAMP][IMPL][FILE:LINE][FUNC][CH{n}][FR{nnn}][BAND_{name}] STAGE: data_type=values |META: ... |SRC: ...
#
[2025-06-11T12:11:07.733758][PYTRAC][qmf.py:209][analysis][CH0][FR000][BAND_FULL] QMF_ANALYSIS_INPUT: PCM=[0.000000,0.024541,0.049068,0.073565,0.098017...-0.122411,-0.098017,-0.073565,-0.049068,-0.024541] |META: size=512 range=[-1.000000,1.000000] sum=0.000000 mean=0.000000 nonzero=508 |SRC: algorithm=qmf_analysis
[2025-06-11T12:11:07.733953][PYTRAC][qmf.py:214][analysis][CH0][FR000][BAND_FULL] QMF_DELAY_SHIFT: OLD_NEW=[0.000000,0.000000,0.000000,0.000000,0.000000...0.000000,0.000000,0.000000,0.000000,0.000000] |META: size=16 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=0 |SRC:
[2025-06-11T12:11:07.734151][PYTRAC][qmf.py:67][analysis][CH0][FR000][BAND_QMF1] QMF_INPUT: SAMPLES=[0.000000,0.024541,0.049068,0.073565,0.098017...0.266713,0.290285,0.313682,0.336890,0.359895] |META: size=16 range=[0.000000,0.359895] sum=2.909930 mean=0.181871 nonzero=15 |SRC:
[2025-06-11T12:11:07.734268][PYTRAC][qmf.py:72][analysis][CH0][FR000][BAND_QMF1] QMF_BUFFER_SHIFT: OLD_TO_NEW=[0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000] |META: size=8 range=[0.000000,0.000000] sum=0.000000 mean=0.000000 nonzero=0 |SRC:
[2025-06-11T12:11:07.734373][PYTRAC][qmf.py:76][analysis][CH0][FR000][BAND_QMF1] QMF_BUFFER_FILLED: TOTAL=[0.000000,0.000000,0.000000,0.000000,0.000000...0.313682,0.336890,0.359895,0.382683,0.405241] |META: size=64 range=[0.000000,0.405241] sum=3.697854 mean=0.057779 nonzero=17 |SRC:
[2025-06-11T12:11:07.734494][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF1] QMF_RAW_TAPS: J0=[-0.000001,0.000000] |META: size=2 range=[-0.000001,0.000000] sum=-0.000001 mean=-0.000000 nonzero=1 |SRC:
[2025-06-11T12:11:07.734641][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF1] QMF_BUTTERFLY: J0=[-0.000001,-0.000001] |META: size=2 range=[-0.000001,-0.000001] sum=-0.000001 mean=-0.000001 nonzero=2 |SRC:
[2025-06-11T12:11:07.734769][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF1] QMF_RAW_TAPS: J2=[-0.000005,-0.000009] |META: size=2 range=[-0.000009,-0.000005] sum=-0.000014 mean=-0.000007 nonzero=2 |SRC:
[2025-06-11T12:11:07.734856][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF1] QMF_BUTTERFLY: J2=[-0.000014,0.000004] |META: size=2 range=[-0.000014,0.000004] sum=-0.000010 mean=-0.000005 nonzero=2 |SRC:
[2025-06-11T12:11:07.734964][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF1] QMF_RAW_TAPS: J4=[0.000000,0.000012] |META: size=2 range=[0.000000,0.000012] sum=0.000012 mean=0.000006 nonzero=2 |SRC:
[2025-06-11T12:11:07.735060][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF1] QMF_BUTTERFLY: J4=[0.000012,-0.000011] |META: size=2 range=[-0.000011,0.000012] sum=0.000000 mean=0.000000 nonzero=2 |SRC:
[2025-06-11T12:11:07.735168][PYTRAC][qmf.py:88][analysis][CH0][FR000][BAND_QMF1] QMF_RAW_TAPS: J6=[-0.000009,-0.000052] |META: size=2 range=[-0.000052,-0.000009] sum=-0.000060 mean=-0.000030 nonzero=2 |SRC:
[2025-06-11T12:11:07.735251][PYTRAC][qmf.py:100][analysis][CH0][FR000][BAND_QMF1] QMF_BUTTERFLY: J6=[-0.000060,0.000043] |META: size=2 range=[-0.000060,0.000043] sum=-0.000017 mean=-0.000009 nonzero=2 |SRC:
[2025-06-11T12:11:07.741120][PYTRAC][qmf.py:103][analysis][CH0][FR000][BAND_QMF1] QMF_FINAL_LOWER: SAMPLES=[-0.000001,-0.000014,0.000012,-0.000060,0.000080...-0.001564,0.070293,0.172849,0.268500,0.366342] |META: size=16 range=[-0.001564,0.366342] sum=0.877071 mean=0.054817 nonzero=16 |SRC:
[2025-06-11T12:11:07.741247][PYTRAC][qmf.py:104][analysis][CH0][FR000][BAND_QMF1] QMF_FINAL_UPPER: SAMPLES=[-0.000001,0.000004,-0.000011,0.000043,-0.000089...0.007297,0.000943,-0.000467,0.000191,-0.000004] |META: size=16 range=[-0.002656,0.007297] sum=0.006271 mean=0.000392 nonzero=16 |SRC:
